Date,Current,Voltage,speed_rpm,anomaly_score,suggestion
"02/12/2020 17:36:52,021",2.284069,4.269839,9345.95656,0.07553547474871358,Investigate sensor noise or unusual load.
"02/12/2020 17:36:56,424",2.39228,4.902973,10726.501096,0.004765563089739855,Investigate sensor noise or unusual load.
"02/12/2020 17:37:00,822",3.073376,4.861901,10763.589833,0.047402084954556334,Investigate sensor noise or unusual load.
"02/12/2020 17:37:05,221",2.147213,4.947204,10657.247011,0.05757608150085547,Investigate sensor noise or unusual load.
"02/12/2020 17:37:18,424",3.219779,4.833783,10396.884072,0.013260312114984907,Investigate sensor noise or unusual load.
"02/12/2020 17:43:15,227",0.005262,5.062204,8625.657422,0.16801152529026964,Investigate sensor noise or unusual load.
"02/12/2020 17:43:19,625",0.609974,4.736791,6821.437149,0.19493194837122918,Investigate sensor noise or unusual load.
"02/12/2020 17:43:24,024",-0.004286,0.002189,13041.030144,0.2795137461296796,Inspect power wiring or battery health.
"02/12/2020 17:51:24,428",1.26879,2.398872,6198.087563,0.19980538249094293,Inspect power wiring or battery health.
"02/12/2020 17:52:43,632",1.103291,3.047803,8037.863076,0.007044108760295487,Inspect power wiring or battery health.
"02/12/2020 17:52:52,434",0.893233,4.742478,8016.309809,0.11715428537486694,Investigate sensor noise or unusual load.
"02/12/2020 17:54:12,034",2.26179,3.669563,7908.065349,0.08681664944460066,Investigate sensor noise or unusual load.
"02/12/2020 17:54:16,436",2.264972,4.853371,10838.419806,0.01968335751064365,Investigate sensor noise or unusual load.
"02/12/2020 17:54:47,231",3.197501,4.796819,10244.894469,0.022030630308401133,Investigate sensor noise or unusual load.
"02/12/2020 17:55:09,231",3.235693,4.795871,10251.351534,0.04212115551183104,Investigate sensor noise or unusual load.
"02/12/2020 17:55:13,630",-0.185699,5.616354,10246.404231,0.21277524958630611,Investigate sensor noise or unusual load.
"02/12/2020 17:59:42,442",1.373819,4.913083,9511.378632,0.029558064691372676,Investigate sensor noise or unusual load.
"02/12/2020 18:00:30,841",-0.03293,0.795186,9557.206572,0.2393736867567573,Inspect power wiring or battery health.
"02/12/2020 18:00:35,242",0.008445,0.002189,7200.0,0.2419865434011399,Inspect power wiring or battery health.
