File,Date,speed_rpm,Current,Voltage,means,anomaly_score,is_anomaly,suggestion
MOTOR-DC_2020_12_02_17_25_04_Analogico.hdf5,"02/12/2020 17:25:03,604",7919.37547,1.609338,2.968187,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.1664005722662008,False,
MOTOR-DC_2020_12_02_17_25_08_Analogico.hdf5,"02/12/2020 17:25:07,815",7968.161802,1.784386,2.951127,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.1277188279138632,False,
MOTOR-DC_2020_12_02_17_25_12_Analogico.hdf5,"02/12/2020 17:25:12,211",7979.458729,1.606156,2.966607,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.13345617110575497,False,
MOTOR-DC_2020_12_02_17_25_17_Analogico.hdf5,"02/12/2020 17:25:16,610",7964.340995,1.793934,2.954286,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.128379755533646,False,
MOTOR-DC_2020_12_02_17_25_21_Analogico.hdf5,"02/12/2020 17:25:21,015",7979.410686,1.720732,2.953338,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.12197096537562774,False,
MOTOR-DC_2020_12_02_17_25_25_Analogico.hdf5,"02/12/2020 17:25:25,415",7975.704568,1.832127,2.949231,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.10715319829760978,False,
MOTOR-DC_2020_12_02_17_25_30_Analogico.hdf5,"02/12/2020 17:25:29,816",7969.130028,1.822578,2.948599,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.11776394889483643,False,
MOTOR-DC_2020_12_02_17_25_34_Analogico.hdf5,"02/12/2020 17:25:34,211",7966.855295,1.781203,2.946704,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.1282444716851513,False,
MOTOR-DC_2020_12_02_17_25_39_Analogico.hdf5,"02/12/2020 17:25:38,615",7953.792402,1.504309,2.969135,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.14303329388273966,False,
MOTOR-DC_2020_12_02_17_25_43_Analogico.hdf5,"02/12/2020 17:25:43,016",7916.255196,1.704819,2.954602,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.1629668164255445,False,
MOTOR-DC_2020_12_02_17_25_47_Analogico.hdf5,"02/12/2020 17:25:47,452",7854.915649,1.405646,2.97577,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.14669759497418267,False,
MOTOR-DC_2020_12_02_17_25_52_Analogico.hdf5,"02/12/2020 17:25:51,815",7896.886823,1.278338,2.999781,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.12260982217136412,False,
MOTOR-DC_2020_12_02_17_25_56_Analogico.hdf5,"02/12/2020 17:25:56,211",7930.025716,1.580694,2.965028,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.15874035334939857,False,
MOTOR-DC_2020_12_02_17_26_01_Analogico.hdf5,"02/12/2020 17:26:00,612",7875.525783,1.306983,2.980509,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.1377079496432151,False,
MOTOR-DC_2020_12_02_17_26_05_Analogico.hdf5,"02/12/2020 17:26:05,012",7927.479877,1.590242,2.963764,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.1621723657733034,False,
MOTOR-DC_2020_12_02_17_26_09_Analogico.hdf5,"02/12/2020 17:26:09,411",7913.646464,1.612521,2.961552,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.17010558164287232,False,
MOTOR-DC_2020_12_02_17_26_14_Analogico.hdf5,"02/12/2020 17:26:13,811",7968.065,1.622069,2.961552,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.1424833935594078,False,
MOTOR-DC_2020_12_02_17_26_18_Analogico.hdf5,"02/12/2020 17:26:18,216",7900.326766,1.580694,2.962184,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.16929263262619976,False,
MOTOR-DC_2020_12_02_17_26_23_Analogico.hdf5,"02/12/2020 17:26:22,616",7919.70479,1.38655,2.973558,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.14581144676539187,False,
MOTOR-DC_2020_12_02_17_26_27_Analogico.hdf5,"02/12/2020 17:26:27,015",7877.662942,1.128752,2.99283,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.07654308486566053,False,
MOTOR-DC_2020_12_02_17_26_32_Analogico.hdf5,"02/12/2020 17:26:31,552",7897.521143,1.879867,2.944492,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.12714424281128,False,
MOTOR-DC_2020_12_02_17_26_36_Analogico.hdf5,"02/12/2020 17:26:36,034",7875.482654,1.361088,2.979245,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.14721352910103636,False,
MOTOR-DC_2020_12_02_17_26_40_Analogico.hdf5,"02/12/2020 17:26:40,412",7889.643463,1.555232,2.9625,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.16728736260605892,False,
MOTOR-DC_2020_12_02_17_26_45_Analogico.hdf5,"02/12/2020 17:26:44,847",7906.91808,1.383367,2.971346,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.14981649336931657,False,
MOTOR-DC_2020_12_02_17_26_49_Analogico.hdf5,"02/12/2020 17:26:49,211",7881.838808,1.418377,2.974822,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.15388350423797625,False,
MOTOR-DC_2020_12_02_17_26_54_Analogico.hdf5,"02/12/2020 17:26:53,612",7957.951196,1.628434,2.959025,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.1531387787347932,False,
MOTOR-DC_2020_12_02_17_26_58_Analogico.hdf5,"02/12/2020 17:26:58,013",7967.046504,1.408829,2.972926,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.12304454981015389,False,
MOTOR-DC_2020_12_02_17_27_02_Analogico.hdf5,"02/12/2020 17:27:02,417",7829.8585,1.364271,2.973242,"Current         2.010838
Voltage         3.824467
speed_rpm    8780.042676
dtype: float64",-0.13250426664656528,False,
